800.00	10688
790.00	11889
776.92	13402
770.77	14135
761.54	15723
750.77	17030
742.31	18693
729.23	20793
723.08	22224
710.00	24721
700.00	26776
690.77	30000
675.38	32260
665.38	34480
655.38	36366
650.00	38354
630.00	43235
613.85	48093
600.00	53496
594.62	56422
588.46	60000
575.38	66193
563.08	74616
556.15	82999
550.00	90000
540.77	100000
533.85	109765
526.92	122097
517.69	137635
511.54	161470
500.00	191972
492.31	213540
489.23	250521
485.38	278668
479.23	354106
476.15	400000
469.23	500000
466.15	600000
463.08	716954
460.00	852385
457.69	1000000
453.85	1490769
450.00	2439401
446.15	5000000
445.38	7765571
444.62	10000000
443.85	18943344
442.31	29390576
440.77	35885028
440.00	46210417
