400.00	10
397.76	15
394.03	22
390.30	42
385.07	100
379.10	207
372.39	310
369.40	391
366.42	501
362.69	584
360.45	750
356.72	874
353.73	1000
350.00	1212
344.03	1468
341.04	1647
338.06	1957
335.07	2282
329.10	2712
325.37	3162
319.40	3981
313.43	5109
306.72	5957
297.76	7644
291.79	10000
285.82	11438
276.12	15548
269.40	18127
260.45	25119
250.00	32235
245.52	37584
238.81	44668
232.84	52079
226.12	60720
220.15	70795
214.18	84140
207.46	100000
204.48	116591
200.00	135936
191.79	158489
185.82	188365
182.84	199526
176.12	237137
173.88	276482
167.16	322354
161.19	383119
155.22	446684
150.00	573236
138.81	735642
136.57	841395
129.85	1000000
126.12	1165914
123.88	1283315
120.15	1496236
114.18	1744483
111.19	2073322
108.21	2417315
102.24	2818383
100.00	3102178
95.52	3548134
92.54	4216965
89.55	4916620
86.57	5732358
82.84	6309573
79.85	7943282
76.87	10000000
