705.68	2610
694.32	2753
685.23	2873
680.68	3000
671.59	3129
665.91	3265
656.82	3444
647.73	3594
643.18	3750
632.95	4000
623.86	4308
609.09	4691
600.00	5109
590.91	5868
580.68	6669
572.73	7579
567.05	8343
562.50	10000
557.95	11365
547.73	14835
543.18	16860
534.09	22009
525.00	26381
510.23	35938
501.14	43078
495.45	50000
486.36	58684
472.73	76605
462.50	95826
453.41	113646
444.32	143684
429.55	200000
420.45	232135
407.95	300000
401.14	363233
387.50	600000
378.41	674068
368.18	879923
363.64	1000000
353.41	1198681
345.45	1436837
328.41	1722309
320.45	1836069
306.82	2000000
288.64	2582480
273.86	2782559
254.55	3000000
239.77	3371148
206.82	4000000
188.64	4307837
182.95	5000000
171.59	5446420
