75.34	100
74.32	106
73.56	112
72.88	123
72.20	129
71.44	141
70.42	162
69.75	180
68.64	207
67.97	237
67.29	266
66.53	305
65.85	355
65.08	407
64.41	468
64.15	543
63.73	562
63.31	631
62.97	716
62.63	794
62.29	912
61.86	1000
61.53	1216
61.27	1413
60.85	1698
60.51	2042
60.17	2371
60.00	2754
59.15	3508
58.73	3890
58.39	4467
58.05	4898
57.63	5433
57.29	5957
56.95	6918
56.27	8318
55.93	9120
55.59	10000
55.25	11614
54.83	12882
54.49	14125
54.15	15668
53.47	20000
52.80	23988
52.03	30200
51.69	35075
51.36	38905
51.02	42658
50.25	53703
50.00	59566
49.49	65313
48.81	83176
48.47	91201
48.14	100000
47.46	128825
46.78	162181
